name                                                             ,price ,drinks_no ,volume ,alcohol_content ,dollars_per_standard ,alc_type
CRUISER BLACKCURRANT & APPLE 4.8% 12 PACK BOTTLES 275ML          ,28.99 ,       12 ,   275 ,            4.8 ,                2.32 ,ready-to-drink
TUI BOURBON & COLA 7% 12 PACK CANS 250ML                         ,27.99 ,       12 ,   250 ,            7.0 ,                1.69 ,ready-to-drink
CRUISER MANGO RASPBERRY 4.8% 12 PACK BOTTLES 275ML               ,28.99 ,       12 ,   275 ,            4.8 ,                2.32 ,ready-to-drink
JIM BEAM GOLD & COLA 7% 6 PACK CANS 330ML                        ,19.99 ,        6 ,   330 ,            7.0 ,                1.83 ,ready-to-drink
WOODSTOCK & COLA 4.8% 18 PACK BOTTLES 330ML                      ,42.99 ,       18 ,   330 ,            4.8 ,                1.91 ,ready-to-drink
CRUISER COOL LIME 4.8% 12 PACK BOTTLES 275ML                     ,28.99 ,       12 ,   275 ,            4.8 ,                2.32 ,ready-to-drink
JACK DANIELS DOUBLE JACK 6.9% 4 PACK CAN 375ML                   ,17.99 ,        4 ,   375 ,            6.9 ,                2.2  ,ready-to-drink
BLACK HEART & COLA 7% 12 PACK CANS 250ML                         ,28.99 ,       12 ,   250 ,            7.0 ,                1.75 ,ready-to-drink
WILD MOOSE & DRY 5% 12 PACK BOTTLES 330ML                        ,28.99 ,       12 ,   330 ,            5.0 ,                1.86 ,ready-to-drink
WOODSTOCK & COLA 7% 18 PACK CANS 250ML                           ,42.99 ,       18 ,   250 ,            7.0 ,                1.73 ,ready-to-drink
CRUISER TROPICAL PEACH & MANGO SORBET 4.8% 12 PACK BOTTLES 275ML ,28.99 ,       12 ,   275 ,            4.8 ,                2.32 ,ready-to-drink
CHEEKY HARD ICED TEA PASSIONFRUIT 5% 10 PACK CAN 330ML           ,29.99 ,       10 ,   330 ,            5.0 ,                2.3  ,ready-to-drink
CHEEKY HARD ICED TEA PEACH VODKA 5% 10 PACK CAN 330ML            ,29.99 ,       10 ,   330 ,            5.0 ,                2.3  ,ready-to-drink
CANADIAN CLUB & DRY 4.8% 10 PACK BOTTLES 330ML                   ,29.99 ,       10 ,   330 ,            4.8 ,                2.4  ,ready-to-drink
